,ville,tra_meas,A2010,A2019,lat,lng
102,PERPIGNAN,FRM_LD_NLD,0,0,42.74,2.87
6,ANGERS,FRM_LD_NLD,0,0,47.56,-0.31
120,ST-MALO,FRM_LD_NLD,12,0,48.59,-2.08
8,ANGOULEME,FRM_LD_NLD,0,0,45.73,0.22
11,ANNECY,PAS_CRD,51392,0,45.93,6.11
112,RODEZ,FRM_LD_NLD,0,0,44.41,2.48
104,POITIERS,FRM_LD_NLD,17,0,46.59,0.31
117,ST-BRIEUC,PAS_CRD,0,0,48.54,-2.86
116,ST-BRIEUC,FRM_LD_NLD,0,0,48.54,-2.86
115,ROUEN,PAS_CRD,2821,0,49.39,1.18
106,QUIMPER,FRM_LD_NLD,0,0,47.97,-4.18
108,REIMS,FRM_LD_NLD,0,0,49.21,4.15
114,ROUEN,FRM_LD_NLD,0,0,49.39,1.18
109,REIMS,PAS_CRD,0,0,49.21,4.15
10,ANNECY,FRM_LD_NLD,0,0,45.93,6.11
36,CAEN,FRM_LD_NLD,40,0,49.17,-0.45
12,AURILLAC,FRM_LD_NLD,0,0,44.9,2.42
53,CHERBOURG,PAS_CRD,0,0,49.65,-1.5
64,FIGARI,FRM_LD_NLD,0,0,41.5,9.1
63,EPINAL,PAS_CRD,0,0,48.33,6.07
62,EPINAL,FRM_LD_NLD,0,0,48.33,6.07
60,DOLE,FRM_LD_NLD,1265,0,47.04222,5.42444
59,DIJON,PAS_CRD,16119,0,47.27,5.09
58,DIJON,FRM_LD_NLD,0,0,47.27,5.09
52,CHERBOURG,FRM_LD_NLD,0,0,49.65,-1.5
68,LA-ROCHELLE,FRM_LD_NLD,0,0,46.18,-1.2
32,BRIVE,FRM_LD_NLD,0,0,45.04,1.48
44,CASTRES-MAZAMET,FRM_LD_NLD,0,0,43.55,2.29
42,CARCASSONNE,FRM_LD_NLD,0,0,43.22,2.31
41,CANNES,PAS_CRD,16760,0,43.55,6.85
40,CANNES,FRM_LD_NLD,0,0,43.55,6.85
34,BRIVE-LAROCHE,FRM_LD_NLD,0,0,,
66,GRENOBLE,FRM_LD_NLD,0,0,45.36,5.33
26,BIARRITZ,FRM_LD_NLD,0,0,43.47,-1.53
96,NIMES,FRM_LD_NLD,12,0,43.76,4.42
80,LIMOGES,FRM_LD_NLD,427,0,45.86,1.18
14,AVIGNON,FRM_LD_NLD,0,0,43.91,4.9
15,AVIGNON,PAS_CRD,28928,0,43.91,4.9
88,METZ-NANCY,FRM_LD_NLD,0,0,48.98,6.25
35,BRIVE-LAROCHE,PAS_CRD,0,0,,
82,LORIENT,FRM_LD_NLD,0,0,47.76,-3.44
22,BERGERAC,FRM_LD_NLD,0,0,44.82,0.52
24,BEZIERS,FRM_LD_NLD,0,0,43.32,3.35
70,LANNION,FRM_LD_NLD,0,0,48.76,-3.47
77,LE-PUY-EN-VELAY,PAS_CRD,0,0,45.08,3.76
76,LE-PUY-EN-VELAY,FRM_LD_NLD,0,0,45.08,3.76
75,LE-MANS,PAS_CRD,0,0,47.95,0.2
74,LE-MANS,FRM_LD_NLD,0,0,47.95,0.2
73,LE-HAVRE,PAS_CRD,41896,0,49.53,0.09
72,LE-HAVRE,FRM_LD_NLD,1,0,49.53,0.09
0,AGEN,FRM_LD_NLD,0,0,44.17,0.59
